Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Premium Bhavnagri Bhakharvadi | Crunchy Gujarati Snack 250g,premium-bhavnagri-bhakharvadi,"Indulge in the authentic taste of Gujarat with our Premium Bhavnagri Bhakharvadi. These perfectly spiced, crispy spiral rolls are handcrafted using traditional recipes passed down through generations. Made with the finest besan (gram flour), aromatic spices, and a secret blend of sesame and dry fruits, each bite delivers an irresistible crunch and a burst of tangy-spicy flavour. Ideal for tea-time snacking, festive celebrations, or gifting. No artificial preservatives. Vacuum-sealed freshness guaranteed. Net Weight: 250g.",Bhavnagri Foods,Food Beverages & Tobacco > Food Items > Snack Foods,Namkeen,"Bhakharvadi, Gujarati Snacks, Bhavnagri Namkeen, Indian Snacks, Tea Time Snack, Traditional Snacks, Crunchy Snacks, Festive Snacks, Handmade Snacks, Premium Namkeen",TRUE,Active,BF-BKHRVDI-250,,Title,Default Title,,,,,,,,199,249,,TRUE,,250,g,100,g,shopify,100,DENY,250,g,TRUE,manual,https://drive.google.com/uc?export=view&id=1UX1vQMgwkEDk-6iIuadnlY8f1tLOV5_o,1,Premium Bhavnagri Bhakharvadi - Authentic Traditional Gujarati Snack Namkeen,,FALSE,Buy Premium Bhavnagri Bhakharvadi Online | Crunchy Gujarati Snack 250g,"Order authentic Bhavnagri Bhakharvadi â€“ crispy, spicy spiral rolls made with traditional Gujarati recipes. Handcrafted, no preservatives. Free shipping available. Shop now!",,Food Beverages & Tobacco > Food Items > Snack Foods,Unisex,Adult,BF-BKHRVDI-250,Bhavnagri Snacks,Indian Namkeen,New,FALSE,Best Seller,Gujarati Snacks,Namkeen,Bhavnagri,Tea Time
,premium-bhavnagri-bhakharvadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1ZC81opM3doIGfEK-fysPiKCfe4wNl5ZI,2,Crispy texture close-up of Premium Bhavnagri Bhakharvadi showing delicious handcrafted ingredients,,,,,,,,,,,,,,,,,,
,premium-bhavnagri-bhakharvadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1gTxD2KocdjqXGalC6d5_iujEmDdxHHii,3,"Premium quality features of Bhavnagri Bhakharvadi - fresh, crunchy, and savory traditional snack",,,,,,,,,,,,,,,,,,
,premium-bhavnagri-bhakharvadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1Qqkrk6GlCSyUaBmPzHgJyGbi8SHmNop0,4,Enjoying Premium Bhavnagri Bhakharvadi as a perfect Indian tea-time snack companion,,,,,,,,,,,,,,,,,,
,premium-bhavnagri-bhakharvadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=10JuBXZa4aDEvJoYTpid8czuYU7YlH8gt,5,Multiple premium presentation views and packaging details of Bhavnagri Bhakharvadi Namkeen,,,,,,,,,,,,,,,,,,
Premium Bhavnagri Chakri | Crispy Rice Flour Spirals 250g,premium-bhavnagri-chakri,"Savour the classic taste of Gujarat with our Premium Bhavnagri Chakri. These golden, crispy spiral discs are made from a fine blend of rice flour and aromatic spices, expertly shaped and deep-fried to perfection. Each Chakri offers a satisfying crunch with a delicate balance of salt and spice. A beloved Gujarati snack enjoyed across generations â€“ perfect for evening chai, festive platters, and family gatherings. No artificial colours or flavours. Freshly packed for maximum crunch. Net Weight: 250g.",Bhavnagri Foods,Food Beverages & Tobacco > Food Items > Snack Foods,Namkeen,"Chakri, Chakli, Gujarati Snacks, Bhavnagri Namkeen, Rice Flour Snack, Indian Snacks, Crispy Snacks, Tea Time Snack, Festive Snacks, Traditional Namkeen",TRUE,Active,BF-CHKRI-250,,Title,Default Title,,,,,,,,199,249,,TRUE,,250,g,100,g,shopify,100,DENY,250,g,TRUE,manual,https://drive.google.com/uc?export=view&id=1xjf-rzKlQgHlD_Qfo9UkBqlJ_X7TLC_r,1,Premium Bhavnagri Chakri - Authentic Traditional Gujarati Snack Namkeen,,FALSE,Buy Premium Bhavnagri Chakri Online | Crispy Rice Flour Spirals 250g,Order authentic Bhavnagri Chakri â€“ golden crispy spiral discs made from rice flour & spices. Traditional Gujarati recipe. No preservatives. Shop now!,,Food Beverages & Tobacco > Food Items > Snack Foods,Unisex,Adult,BF-CHKRI-250,Bhavnagri Snacks,Indian Namkeen,New,FALSE,Popular,Gujarati Snacks,Namkeen,Bhavnagri,Tea Time
,premium-bhavnagri-chakri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1GrNOG4iKe8Az0MRndYq6fpDDIi641ejM,2,Crispy texture close-up of Premium Bhavnagri Chakri showing delicious handcrafted ingredients,,,,,,,,,,,,,,,,,,
,premium-bhavnagri-chakri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1lkLUhQ8PObPCyi7skTIeFCK4b94OHRQN,3,"Premium quality features of Bhavnagri Chakri - fresh, crunchy, and savory traditional snack",,,,,,,,,,,,,,,,,,
,premium-bhavnagri-chakri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1fI3Ka6DSroS5pyNFnfETnqKWAnbquR6C,4,Enjoying Premium Bhavnagri Chakri as a perfect Indian tea-time snack companion,,,,,,,,,,,,,,,,,,
,premium-bhavnagri-chakri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=view&id=1mLDoaGIiu2JaeRzHAXC0HAEOnFeiDmBj,5,Multiple premium presentation views and packaging details of Bhavnagri Chakri Namkeen,,,,,,,,,,,,,,,,,,
